DATETIME,open,close,high,low
2008-02-22,122.48,119.46,122.51,115.87
2008-02-25,118.59,119.74,120.17,116.664
2008-02-26,117.64,119.15,121.09,115.44
2008-02-27,118.23,122.96,123.05,118.09
2008-02-28,127.2,129.91,132.2,125.77
2008-02-29,129.29,125.02,130.21,124.8
2008-03-03,124.44,121.73,125.98,118.0
2008-03-04,121.99,124.62,124.88,120.4
2008-03-05,123.58,124.4899,125.14,122.25
2008-03-06,124.615,120.93,127.5,120.81
2008-03-07,120.41,122.25,122.9799,119.05
2008-03-10,121.98,119.69,123.46,119.37
2008-03-11,124.1,127.3501,127.48,122.0
2008-03-12,127.04,126.03,128.68,125.17
2008-03-13,124.1,127.94,129.5,123.0
2008-03-14,129.88,126.61,130.3,124.2
2008-03-17,122.55,126.73,128.59,122.55
2008-03-18,129.18,132.82,133.0015,128.67
2008-03-19,133.12,129.67,134.29,129.67
2008-03-20,131.12,133.27,133.2915,129.18
2008-03-24,134.01,139.53,140.85,133.64
2008-03-25,139.96,140.98,143.1,137.33
2008-03-26,140.87,145.06,145.74,140.64
2008-03-27,144.95,140.25,145.31,139.99
2008-03-28,141.8,143.01,144.65,141.6
2008-03-31,143.27,143.5,145.71,142.52
2008-04-01,146.3,149.5301,149.66,143.61
2008-04-02,148.78,147.49,151.2,145.85
2008-04-03,147.06,151.61,153.63,147.0
2008-04-04,152.19,153.08,154.715,150.75
2008-04-07,156.13,155.89,159.69,155.11
2008-04-08,153.55,152.84,156.45,152.32
2008-04-09,153.31,151.44,153.89,150.46
2008-04-10,151.13,154.55,155.42,150.6
2008-04-11,152.72,147.14,153.3,146.4
2008-04-14,146.77,147.78,149.25,144.54
2008-04-15,149.4,148.38,149.72,145.72
2008-04-16,151.72,153.7,154.1,150.62
2008-04-17,154.17,154.49,156.0,153.35
2008-04-18,159.12,161.04,162.26,158.38
2008-04-21,162.21,168.16,168.5,161.76
2008-04-22,167.4,160.2,168.0,158.09
2008-04-23,164.05,162.89,164.84,161.08
2008-04-24,165.34,168.94,169.98,159.194
2008-04-25,170.7,169.73,171.1,166.42
2008-04-28,169.75,172.24,173.75,169.13
2008-04-29,171.11,175.05,175.66,170.25
2008-04-30,176.19,173.95,180.0,172.92
2008-05-01,174.96,180.0,180.0,174.86
2008-05-02,180.19,180.94,181.92,178.55
2008-05-05,181.92,184.73,185.31,181.05
2008-05-06,184.66,186.66,187.12,182.18
2008-05-07,186.05,182.59,188.2,180.54
2008-05-08,183.77,185.06,186.5,183.07
2008-05-09,183.16,183.45,184.25,181.37
2008-05-12,185.21,188.16,188.87,182.85
2008-05-13,188.61,189.96,191.45,187.86
2008-05-14,191.23,186.26,192.24,185.57
2008-05-15,186.81,189.73,189.9,184.2
2008-05-16,190.11,187.6201,190.3,187.0
2008-05-19,187.86,183.6,188.69,181.3
2008-05-20,181.82,185.9,186.16,180.12
2008-05-21,185.67,178.19,188.0,176.25
2008-05-22,179.26,177.05,181.33,172.0
2008-05-23,180.77,181.17,181.99,177.8
2008-05-27,182.75,186.43,186.43,181.84
2008-05-28,187.41,187.01,187.95,183.72
2008-05-29,186.76,186.69,188.2,185.5
2008-05-30,187.45,188.75,189.54,187.38
2008-06-02,188.6,186.1,189.65,184.53
2008-06-03,186.86,185.37,188.2,182.3354
2008-06-04,184.02,185.19,187.09,183.23
2008-06-05,186.34,189.43,189.84,185.7
2008-06-06,188.0,185.64,189.95,185.55
2008-06-09,184.79,181.61,184.94,175.75
2008-06-10,180.51,185.64,186.78,179.02
2008-06-11,184.34,180.81,186.0,179.59
2008-06-12,181.49,173.26,182.6,171.2
2008-06-13,171.64,172.37,174.16,165.31
2008-06-16,171.3,176.84,177.9,169.07
2008-06-17,178.1,181.43,181.99,177.41
2008-06-18,181.12,178.75,182.2,177.35
2008-06-19,178.55,180.9,182.34,176.8
2008-06-20,179.35,175.27,181.0,175.0
2008-06-23,174.74,173.16,175.88,171.56
2008-06-24,172.37,173.25,175.78,171.63
2008-06-25,174.61,177.39,178.83,173.88
2008-06-26,174.07,168.26,174.84400000000002,168.01
2008-06-27,166.51,170.09,170.57,164.15
2008-06-30,170.19,167.44,172.0,166.62
2008-07-01,164.23,174.68,174.72,164.0
2008-07-02,175.2,168.18,177.45,168.1788
2008-07-03,169.59,170.12,172.17,165.75
2008-07-07,173.16,175.16,177.13,171.9
2008-07-08,175.4,179.55,179.7,172.7401
2008-07-09,180.2,174.25,180.91,174.14
2008-07-10,174.92,176.63,177.34,171.37
2008-07-11,175.47,172.58,177.11,171.0
2008-07-14,179.24,173.88,179.3,173.08
2008-07-15,172.48,169.64,173.74,166.39
2008-07-16,170.2,172.81,172.93,168.6
2008-07-17,174.1,171.81,174.98,171.39
2008-07-18,168.52,165.15,169.65,165.0
2008-07-21,166.9,166.29,167.5,161.12
2008-07-22,149.0,162.02,162.76,146.53
2008-07-23,164.99,166.26,168.37,161.56
2008-07-24,164.32,159.03,165.26,158.45
2008-07-25,160.4,162.12,163.0,158.65
2008-07-28,162.34,154.4,162.47,154.02
2008-07-29,155.41,157.08,159.45,153.65
2008-07-30,157.78,159.88,160.49,156.08
2008-07-31,157.54,158.95,162.2,156.98
2008-08-01,159.9,156.66,159.99,155.75
2008-08-04,156.5999,153.23,157.9,152.91
2008-08-05,155.42,160.64,160.8,154.82
2008-08-06,159.97,164.19,167.4,158.0
2008-08-07,162.71,163.57,166.15,161.5
2008-08-08,163.86,169.55,169.65,163.75
2008-08-11,170.07,173.56,176.5,169.67
2008-08-12,173.52,176.73,179.29,173.51
2008-08-13,177.98,179.3,180.0,175.9
2008-08-14,178.33,179.32,180.45,177.84
2008-08-15,179.04,175.74,179.75,175.05
2008-08-18,175.57,175.39,177.81,173.82
2008-08-19,174.54,173.53,177.07,171.81
2008-08-20,174.7725,175.84,176.94,173.61
2008-08-21,174.47,174.29,175.45,171.89
2008-08-22,175.82,176.79,177.5,175.57
2008-08-25,176.15,172.55,176.23,171.66
2008-08-26,172.76,173.64,174.88,172.6101
2008-08-27,173.31,174.67,175.76,172.1909
2008-08-28,175.28,173.74,176.25,172.75
2008-08-29,172.96,169.53,173.5,169.0401
2008-09-02,172.4,166.19,173.5,165.0
2008-09-03,166.84,166.96,168.68,164.0
2008-09-04,165.86,161.22,167.9125,160.81
2008-09-05,158.59,160.18,162.4,157.65
2008-09-08,164.57,157.92,164.89,151.4585
2008-09-09,156.86,151.68,159.96,149.79
2008-09-10,152.32,151.61,154.99,148.8
2008-09-11,148.18,152.65,152.99,146.0
2008-09-12,150.9099,148.94,150.9099,146.5
2008-09-15,142.03,140.36,147.69,140.36
2008-09-16,133.86,139.88,142.5,132.15
2008-09-17,138.49,127.83,138.51,127.83
2008-09-18,130.57,134.09,135.43,120.68
2008-09-19,142.6,140.91,144.2,136.31
2008-09-22,139.94,131.05,140.25,130.66
2008-09-23,131.85,126.84,135.8,126.66
2008-09-24,127.27,128.71,130.95,125.15
2008-09-25,129.8,131.93,134.79,128.52
2008-09-26,124.91,128.24,129.8,123.0
2008-09-29,119.62,105.26,119.68,100.59
2008-09-30,108.25,113.66,115.0,106.3
2008-10-01,111.92,109.12,112.36,107.39
2008-10-02,108.01,100.1,108.79,100.0
2008-10-03,104.0,97.07,106.5,94.65
2008-10-06,91.96,98.14,98.78,87.54
2008-10-07,100.48,89.16,101.5,88.95
2008-10-08,85.9125,89.79,96.33,85.68
2008-10-09,93.35,88.74,95.8,86.6
2008-10-10,85.7,96.8,100.0,85.0
2008-10-13,104.55,110.26,110.53,101.02
2008-10-14,116.26,104.08,116.4,103.14
2008-10-15,103.84,97.95,107.0,97.89
2008-10-16,99.77,101.89,103.43,91.74
2008-10-17,99.6,97.4,102.04,85.885
2008-10-20,99.78,98.44,100.03,93.64
2008-10-21,96.95,91.49,97.9,91.16
2008-10-22,97.37,96.87,101.25,92.93
2008-10-23,96.51,98.23,99.25,91.9
2008-10-24,90.33,96.38,97.9,90.11
2008-10-27,95.07,92.09,97.63,91.86
2008-10-28,95.43,99.91,100.5,92.37
2008-10-29,100.86,104.55,109.54,99.94
2008-10-30,108.23,111.04,112.19,107.61
2008-10-31,107.4,107.59,110.78,105.14
2008-11-03,105.93,106.96,109.1,104.86
2008-11-04,109.99,110.99,111.79,106.67
2008-11-05,108.91,103.3,109.72,102.99
2008-11-06,101.05,99.1,102.78,98.0
2008-11-07,99.24,98.24,99.85,95.72
2008-11-10,100.17,95.88,100.4,94.5
2008-11-11,94.81,94.77,97.17,92.26
2008-11-12,92.43,90.12,93.24,90.01
2008-11-13,89.87,96.44,96.44,86.02
